id_producto,marca_producto,nombre_producto,sku,precio,costo,peso,sin_aditivos,bajo_en_calorías
361, El Galeón, Mantequilla de maní,82486557780-4,1.29,0.42,14.8,1,
362, El Galeón, Salsa de tomate,226740220725-4,4.55,2.16,11.3,,
363, El Galeón, Pasta de trigo,63123590052-9,2.08,0.76,9.1,1,1
364, El Galeón, Yogur griego,81649216114-3,2.52,1.22,18,,
365, El Galeón, Aceitunas verdes,54279447853-1,4.54,1.66,12.5,1,
366, El Galeón, Vinagre balsámico,209051936327-1,2.7,1.02,20.6,1,
367, El Galeón, Refresco de cola,127205138264-9,4,1.38,12.2,1,
368, El Galeón, Zanahorias frescas,211224489152-1,1.31,0.44,15.1,,
369, El Galeón, Jugo de piña,42348445712-5,2.63,0.98,20.4,,
370, El Galeón, Chocolate negro,55614659010-7,1.05,0.41,7,1,
371, El Galeón, Carne molida,175010578692-5,0.76,0.35,10.3,1,
372, El Galeón, Té negro,117523654401-1,4.56,1.94,15.5,,
373, El Galeón, Pimientos naranjas,166166436493-9,3.16,1.12,12.5,1,1
374, La Marca, Fresas frescas,37926374614-4,1.71,0.61,11.9,1,
375, La Marca, Lentejas secas,222816019117-5,2.62,1.01,19.3,1,
376, La Marca, Yogur natural,149442280709-4,2.6,1.01,12.9,,1
377, La Marca, Mantequilla de coco,56578787624-8,2.41,0.8,18.9,,
378, La Marca, Mantequilla de almendras,200832450566-7,1.27,0.48,18.2,1,1
379, La Marca, Maíz dulce enlatado,189240920601-1,4.41,2.14,17,1,
380, La Marca, Agua mineral,55741445958-4,1.4,0.59,22.5,1,1
381, La Marca, Lechuga iceberg,180396778405-2,2.67,1.13,10.8,1,1
382, La Marca, Pimientos amarillos,183144166171-6,1.86,0.83,10.7,1,1
383, La Marca, Queso parmesano,30046361029-8,3.15,1.25,13.9,1,1
384, La Marca, Champiñones frescos,114065711915-2,0.62,0.28,15.4,1,1
385, La Marca, Espaguetis de trigo integral,71415574848-2,1.79,0.69,11.9,,
386, La Marca, Arroz blanco,84681788146-1,2.55,0.96,17.7,1,1
387, La Marca, Mermelada de frambuesa,204077707826-2,2.76,0.93,18.6,1,
388, La Cosecha, Papas fritas,146590783535-6,2.69,0.98,20.3,1,1
389, La Cosecha, Vinagre de manzana,195233565626-3,2.05,0.97,14.8,,
390, La Cosecha, Cereal de arroz,66993503748-3,4.28,1.95,10.8,1,
391, La Cosecha, Helado de chocolate,44883148251-9,1.5,0.52,9.7,,
392, La Cosecha, Queso parmesano,204915049492-9,1.49,0.5,13.7,,1
393, El Barco, Papas fritas,112051556407-5,1.28,0.41,22.6,1,
394, El Barco, Refresco de cola,175531125723-4,3.59,1.28,10.9,1,
395, El Barco, Arroz blanco,163939595758-2,2.54,1.13,8.7,1,
396, El Barco, Jugo de naranja natural,30440121114-5,3.71,1.32,17.1,1,
397, El Barco, Pimientos rojos,155095453559-5,1.55,0.52,12.6,,
398, El Barco, Papas fritas,157842841327-3,0.92,0.4,16.3,1,1
399, El Barco, Galletas de chocolate,211745036183-8,1,0.42,10.7,,
400, El Barco, Espaguetis de trigo integral,88764387071-5,1.64,0.53,10,1,
401, El Barco, Salmón ahumado,126888343631-7,0.8,0.29,14.6,,
402, El Barco, Pimientos verdes,140154556929-7,1.29,0.43,9.6,1,1
403, El Barco, Carne molida,178776382982-7,1.78,0.54,14.3,1,1
404, El Barco, Leche de almendras,121289458691-2,1.43,0.44,7.3,1,
405, El Barco, Leche de almendras,169932240783-1,4.23,1.38,20.6,,
406, El Barco, Guisantes congelados,41692178904-9,1.88,0.91,21.7,,
407, El Barco, Pimientos rojos,226581823407-4,3.68,1.71,6.7,,1
408, El Barco, Helado de fresa,179613724648-8,2.52,1.2,16.5,1,1
409, El Barco, Yogur griego,86750231563-2,4.48,1.86,11.4,1,1
410, El Barco, Mostaza,24003894506-8,1.44,0.6,20.8,,1
411, El Barco, Lechuga iceberg,219412364541-5,0.58,0.29,8.7,1,1
412, El Barco, Sopa de pollo,211532350956-4,1.58,0.61,19.8,1,1
413, El Barco, Nueces mixtas,129187683402-9,2.58,1,19.3,1,
414, El Barco, Refresco de naranja,76960171876-9,3.17,1.01,20.9,1,1
415, El Barco, Vinagre de manzana,185837266027-9,3.33,1.42,18.3,1,1
416, El Barco, Arándanos frescos,62856616913-3,3.8,1.51,7.6,1,
417, El Barco, Pechuga de pavo,46005674183-9,3.12,1.36,14.9,1,
418, El Barco, Sopa de tomate,59271887480-8,3.62,1.69,13.9,1,
419, El Barco, Aceite de oliva,26642706452-9,4.09,1.46,8.9,,
420, El Barco, Queso cheddar,95381688535-9,2.6,0.87,21.6,1,1
421, El Barco, Mermelada de fresa,144024470627-6,3.38,1.57,6.5,1,
422, El Barco, Refresco de cola,167809509456-3,4.2,1.42,8.3,,1
423, El Barco, Salsa de pescado,145699153959-4,1.68,0.8,18.1,,1
424, La Montaña, Lechuga iceberg,153705954492-1,1.66,0.55,10.1,1,
425, La Montaña, Yogur natural,60842461407-1,1.47,0.48,9.6,,
426, La Montaña, Caldo de pollo,150121225057-3,0.69,0.29,12.1,,
427, La Montaña, Caldo de pollo,193504594384-1,2.45,0.89,9.3,,
428, La Montaña, Yogur de frutas,60005119741-4,0.77,0.27,8.9,,
429, La Montaña, Yogur de vainilla,155484747230-8,1.73,0.54,12.6,1,
430, La Montaña, Pepinos frescos,103257235704-1,2.06,0.82,12.1,1,
431, La Montaña, Espaguetis de trigo integral,212134329854-6,1.1,0.43,20.9,,
432, La Montaña, Canela en polvo,89153680740-9,2.69,1.28,11.9,,
433, La Montaña, Berenjenas,72302738010-9,1.99,0.61,11.3,1,
434, La Montaña, Helado de pistacho,85568951308-7,1.63,0.5,20.1,,
435, La Montaña, Té negro,52939770280-6,3.24,1.51,12.4,1,
436, La Montaña, Pechuga de pavo,147477946697-2,1.75,0.71,6.6,,
437, La Montaña, Arándanos frescos,44095628081-6,2.26,1.05,20.9,,
438, La Montaña, Pan integral,194106573283-9,2.21,1.1,20.5,1,
439, La Montaña, Jugo de arándano,171996217787-8,4.01,1.95,22.9,1,
440, La Montaña, Salsa picante,180003018319-4,0.77,0.36,20.2,1,
441, La Montaña, Sopa de pollo,87139525235-8,0.65,0.29,14.4,1,
442, La Montaña, Pasas de uva,176418288885-5,2.57,1.22,22.2,,
443, El Oasis, Mantequilla de maní,219801658212-7,1.52,0.54,21.6,1,
444, El Oasis, Cereal de maíz,31327284276-4,2.97,1.18,21.1,,
445, El Oasis, Tofu orgánico,210957516013-7,3.96,1.34,17.3,1,
446, El Oasis, Pimientos amarillos,158730004489-4,4.3,1.79,11.6,,
447, El Oasis, Carne molida,186833005011-9,3.3,1.14,20.4,1,
448, El Oasis, Cereal de maíz,63852355896-2,1.76,0.84,16.6,,
449, El Oasis, Salmón ahumado,47001413164-4,4.23,1.96,10.8,1,
450, El Oasis, Pan blanco,60267626464-3,3.86,1.75,19.8,,
451, El Oasis, Café colombiano,179663546144-2,2.04,0.96,14.1,1,
452, El Oasis, Carne de res,122176621853-9,2.84,1.06,11.7,,
453, El Oasis, Té negro,170819403945-5,3.35,1.19,20.4,1,
454, El Oasis, Queso parmesano,42579342066-4,1.07,0.48,14.7,,
455, El Oasis, Zanahorias frescas,148514228880-9,1.92,0.75,10.9,1,
456, El Oasis, Aceite de oliva,156521029411-7,3.06,0.91,14.4,1,
457, El Oasis, Sopa de pollo,63657536326-7,2.59,1.12,13.9,1,
458, El Oasis, Galletas de chocolate,152936299979-6,1.72,0.53,17.6,1,
459, El Oasis, Leche de almendras,196319669306-5,0.73,0.26,17.2,,
460, El Oasis, Espaguetis de trigo integral,214845295368-9,1.84,0.8,14.4,1,
461, El Oasis, Pechuga de pavo,187475527107-8,3.12,1.14,16.9,,
462, El Oasis, Mantequilla de almendras,135248015581-1,2.43,0.88,16.4,1,
463, El Oasis, Refresco de limón,37125109731-4,1.43,0.58,8.7,1,
464, El Oasis, Pollo fresco,95345266282-4,4.08,1.97,16.4,1,
465, El Oasis, Salsa de tomate,78494323550-9,3.38,1.44,16,,
466, El Oasis, Aceitunas verdes,91760536848-9,3.01,1.43,9.2,,
467, El Oasis, Papas fritas,211156456530-4,4.36,1.69,8.7,1,
468, El Oasis, Pasas de uva,153669532239-2,1.99,0.79,11.1,1,
469, El Oasis, Jugo de piña,202312314331-4,1.48,0.66,8.4,1,
470, El Oasis, Avena instantánea,74072252452-7,3.32,1.18,7.9,1,
471, El Oasis, Cereal de avena,51961896955-9,0.95,0.34,10.4,,
472, El Oasis, Salsa de soja,131219704567-6,0.94,0.42,9.9,1,
473, El Oasis, Fresas frescas,190381312190-6,0.84,0.31,14.7,,
474, El Oasis, Papas fritas,127634975135-9,4.03,1.79,22.4,1,
475, El Molino, Espaguetis de trigo integral,171018344460-9,2.99,0.95,21.9,1,
476, El Molino, Pimientos rojos,189543970524-1,4.17,1.28,16.4,1,
477, La Fuente, Nueces mixtas,162174202263-4,0.99,0.34,20.1,1,
478, La Fuente, Piña en almíbar,109946690737-1,3.33,1.42,11.3,,
479, La Fuente, Mostaza,163848885595-3,2.46,1.19,17.2,1,
480, La Fuente, Tomates maduros,95843135773-7,1.94,0.86,13.9,,
481, La Fuente, Cebollas blancas,53192998707-6,3.26,1.52,14.8,1,
482, El Águila, Tostadas de trigo,66459212004-7,0.84,0.41,19.6,,1
483, El Águila, Salsa de tomate,185855131684-6,2.22,0.77,13.7,1,
484, El Águila, Galletas de chocolate,128368207393-2,4.17,2.06,8.8,,1
485, El Águila, Vinagre balsámico,177010989487-1,2.51,0.94,15.2,,1
486, El Águila, Sopa de pollo,48770927606-1,1.31,0.58,15.5,1,1
487, El Águila, Ketchup,26660572112-8,2.98,1.32,9.5,,1
488, El Águila, Salsa de soja,34667372642-7,2.97,1.47,10.3,1,1
489, El Águila, Avena instantánea,93828980265-4,2.76,1.2,17.2,1,1
490, El Águila, Tofu orgánico,101727204977-8,1.89,0.61,14.1,,1
491, El Águila, Maíz dulce enlatado,145110574304-9,4.02,1.66,20.6,1,
492, El Águila, Miel pura,163636200368-8,2.03,0.66,21.3,,
493, El Águila, Galletas de chocolate,136266432104-4,3.02,1.02,7.8,1,
494, El Águila, Té negro,84038920581-4,2.21,0.92,9.5,1,
495, El Águila, Pepinos frescos,137941115437-6,1.34,0.54,9.7,1,
496, El Águila, Avena instantánea,221960466325-5,0.96,0.35,11.8,,
497, El Águila, Helado de chocolate,53084422885-7,2.14,0.72,15.4,1,
498, El Águila, Leche de almendras,66350636182-6,2.92,1.38,12.5,1,1
499, El Águila, Té negro,159947361528-7,3.39,1.61,14.6,1,
500, El Águila, Aceitunas verdes,102460437237-5,3.05,1.45,17.9,,1
501, El Águila, Té negro,151103219329-3,1.66,0.79,18,1,1
502, El Águila, Guisantes congelados,229863157450-2,3.63,1.4,21.1,1,
503, El Águila, Mantequilla,207752801953-7,2.13,1.01,22.3,,1
504, El Águila, Pimientos rojos,160784703194-3,2.11,0.87,14.3,1,1
505, El Águila, Arroz blanco,67921210109-2,1.91,0.91,19,,
506, El Águila, Yogur de frutas,212174873054-2,4.22,1.29,12.1,1,
507, El Águila, Aceite de oliva,200583343086-1,2.9,1.18,21.4,1,
508, El Águila, Aceite de oliva,189933264196-1,4.34,1.54,14.6,1,1
509, El Águila, Miel pura,107588596640-3,2.18,0.76,21.9,1,
510, El Águila, Jugo de arándano,110335984408-1,0.7,0.31,9.8,1,
511, El Águila, Miel pura,164238179264-1,0.78,0.38,22.1,,1
512, El Águila, Mantequilla de maní,41257530152-3,3.14,1.43,10.3,,
513, El Águila, Yogur de vainilla,79381486713-3,0.66,0.32,11.6,1,
514, El Águila, Limones frescos,92647700010-4,2.07,0.74,21.9,1,1
515, El Águila, Salsa de tomate,212043619692-5,2.19,1.02,21.7,,1
516, El Águila, Avena instantánea,154556695401-2,2.12,0.71,22.9,1,
517, El Águila, Sopa de tomate,177400283156-5,3.9,1.85,8.3,,
518, El Águila, Aceitunas verdes,49160221277-3,1.56,0.77,14.2,,1
519, El Águila, Jugo de naranja natural,27049865781-3,4.38,2.04,18,1,
520, El Águila, Tofu orgánico,187081767022-2,3.21,1.52,7.6,1,
521, El Águila, Miel pura,94218273937-7,4.16,1.72,8.9,1,
522, El Águila, Jugo de arándano,31471936881-2,1.87,0.65,16.4,1,1
523, El Águila, Queso parmesano,226880406914-4,1.97,0.8,11.9,,1
524, El Águila, Palomitas de maíz,93380932271-4,1.99,0.98,14.5,,
525, El Águila, Yogur de frutas,218036264717-1,3.26,1,11.9,,1
526, La Palma, Helado de vainilla,85034659562-8,2.58,1.22,19.3,1,1
527, La Palma, Papas fritas,138936854421-3,2.73,0.89,12.5,,
528, El Zorro, Chocolate negro,222956205306-7,1.1,0.35,6.9,1,1
529, El Zorro, Piña en almíbar,54080161869-6,2.51,1.02,18.6,,1
530, El Zorro, Palomitas de maíz,67346375166-2,4.31,1.79,9.9,1,
531, El Zorro, Salsa de tomate,186742294846-1,0.69,0.25,17.7,,1
532, El Zorro, Agua mineral,129255370555-8,4.43,1.57,22.8,1,
533, El Zorro, Cereal de arroz,177898152649-6,2.77,0.93,21.1,,
534, El Zorro, Vinagre balsámico,49658090768-7,3.87,1.64,13.2,,1
535, El Zorro, Leche entera,208142095625-5,3.25,1.12,8.3,1,1
536, El Zorro, Plátanos maduros,161173996865-2,2.08,0.75,22.9,1,
537, El Zorro, Refresco de naranja,68310503781-9,3.04,0.98,21.7,1,
538, El Zorro, Refresco de cola,212564166723-5,1.07,0.44,21.9,1,1
539, El Zorro, Piña en almíbar,200972636758-1,4.28,1.53,8.8,1,
540, El Zorro, Mantequilla de coco,67473162114-7,0.58,0.25,12.9,1,1
541, El Zorro, Helado de vainilla,192128494559-9,2.15,0.79,13.7,1,
542, El Zorro, Refresco de toronja,139900983035-3,1.73,0.84,7.2,,1
543, El Zorro, Jugo de naranja natural,41778077183-4,1.88,0.82,8.5,,
544, El Zorro, Berenjenas,197048435150-1,3.38,1.01,16.9,1,
545, El Zorro, Café colombiano,180197492421-1,1.66,0.62,20.1,1,1
546, El Zorro, Salsa de barbacoa,193463705718-1,3.18,1.13,15.4,,
547, El Zorro, Pan integral,160834524690-4,2.65,0.89,9.5,1,
548, El Zorro, Nueces mixtas,103347600399-4,3.32,1.38,8.8,1,1
549, El Zorro, Yogur de frutas,151990382491-2,1.92,0.86,11,1,
550, El Zorro, Palomitas de maíz,175775421320-6,2.75,0.87,11.2,,
551, El Zorro, Arroz blanco,153665065823-8,3.68,1.27,8.3,1,
552, El Zorro, Salsa de pescado,161671866356-2,0.63,0.27,19.5,1,1
553, El Zorro, Ketchup,43009178935-9,2.19,0.95,7.8,,
554, El Zorro, Yogur griego,132287942587-1,3.6,1.74,13.8,1,
555, El Zorro, Leche entera,175671311914-1,3.3,1.44,20.3,1,
556, El Zorro, Jugo de arándano,42171837268-3,3.72,1.44,11.9,1,
557, El Zorro, Salsa de soja,166827169715-7,1.56,0.69,19.3,,
558, El Zorro, Almendras naturales,114599658191-9,0.92,0.43,15.8,,1
559, El Zorro, Mermelada de fresa,223476752340-5,4.33,1.58,20.9,,1
560, El Zorro, Cereal de arroz,100496103225-3,1.37,0.66,15.8,,1
561, El Zorro, Sopa de verduras,83645160496-2,0.88,0.35,16.5,1,1
562, El Zorro, Helado de fresa,96911373793-9,0.68,0.27,18.7,,
563, El Zorro, Helado de vainilla,135533199846-7,1.92,0.75,20.9,,1
564, La Fama, Mantequilla,23071376263-7,0.76,0.34,18.8,1,1
565, La Fama, Champiñones frescos,126689057647-1,1.03,0.43,11.4,1,
566, La Fama, Caldo de pollo,150474096476-1,2.04,0.83,14.6,,
567, La Fama, Huevos orgánicos,128363740980-7,2.69,1.34,16.7,1,1
568, La Fama, Pan blanco,136370541512-3,3.81,1.39,11.8,,1
569, La Fama, Huevos orgánicos,43507048428-4,3.62,1.79,8.2,1,1
570, La Fama, Tomates maduros,132785812078-3,2.47,1.03,18.4,,1
571, La Fama, Jugo de piña,149763541758-8,1.43,0.55,10.9,,
572, El Camino, Cereal de avena,168289167820-7,2.88,1.22,9.4,,
573, El Camino, Pasta de trigo,140919399559-5,3.88,1.57,20.7,1,1
574, El Camino, Pan blanco,88691888033-4,3.06,1.3,20,1,
575, El Camino, Espárragos frescos,197568982183-4,3.22,1.53,11.6,1,1
576, El Camino, Pasta de trigo,74588333069-2,0.8,0.33,19.5,1,1
577, La Isla, Salsa picante,57737390339-3,3,1.45,6.4,1,
578, La Isla, Yogur de frutas,71003603637-5,2.62,0.78,9.8,1,
579, La Isla, Jugo de arándano,190399523317-4,0.95,0.4,16.5,,
580, La Isla, Tostadas de trigo,48761994779-2,2.76,1.34,20.9,,
581, La Isla, Yogur de frutas,97404776870-2,3.25,1.42,20.4,1,
582, La Isla, Cereal de avena,176164714991-8,4.35,1.6,10.4,1,
583, La Isla, Salsa de soja,154054359495-9,1.84,0.71,20.4,1,
584, La Isla, Aceite de oliva,162061160028-5,2.97,1,18.5,,
585, El Puente, Pasas de uva,69197666943-9,2.5,0.82,8.5,,1
586, El Puente, Tomates maduros,158476430593-6,1.63,0.79,19.8,1,
587, El Puente, Jugo de arándano,201859799920-8,3.75,1.37,8.1,,
588, El Puente, Mantequilla de almendras,220385425984-8,1.76,0.62,7.9,,
589, El Puente, Salmón ahumado,167216463386-9,3.04,1.14,17.2,1,
590, El Puente, Helado de fresa,114988951860-5,2.21,0.85,6.4,,
591, El Puente, Guisantes congelados,223866046011-2,1.34,0.48,9.2,,1
592, El Puente, Mermelada de fresa,100885396897-9,2.84,1.15,13.3,1,
593, El Puente, Carne molida,84034454165-1,2.14,0.95,12.6,1,
594, La Cabaña, Tomates maduros,97300667464-4,0.66,0.19,7.6,1,
595, La Cabaña, Sopa de verduras,216696587144-5,1.63,0.74,8.3,1,
596, La Cabaña, Sopa de tomate,159209662854-8,0.73,0.28,10.9,,1
597, La Cabaña, Aceite de oliva,207852444945-8,3.21,1.58,20.3,1,1
598, La Cabaña, Mantequilla de maní,150863390148-4,1.74,0.72,10.8,1,
599, La Cabaña, Frijoles negros,128753034651-5,2.66,0.92,10.3,1,
600, La Cabaña, Pollo fresco,136759835182-7,2.65,1,19.8,1,
601, La Cabaña, Arroz blanco,195921442805-1,2.44,0.77,15.6,,
602, La Cabaña, Lentejas secas,133175105749-5,2.45,1.09,16.7,1,
603, La Cabaña, Carne molida,176558475076-1,1.41,0.44,17.3,1,1
604, La Cabaña, Pechuga de pavo,195084101138-6,1.43,0.69,10,,
605, La Cabaña, Espinacas congeladas,167714332877-1,2.7,0.96,22.3,1,
606, La Cabaña, Yogur de frutas,115486821353-1,3.04,0.98,11.9,,
607, La Cabaña, Galletas integrales,143589821873-4,3.18,1.54,14,,
608, La Cabaña, Salsa de pescado,75584072053-5,0.78,0.35,10.7,1,
609, La Cabaña, Refresco de limón,58733129321-6,2.97,1.23,11.9,,1
610, La Cabaña, Pimientos amarillos,71999342618-6,2.6,1.11,7.5,1,1
611, La Cabaña, Jugo de piña,191395262301-7,0.94,0.38,15.9,1,
612, La Cabaña, Refresco de toronja,133908338010-3,2.73,1.11,12.2,1,
613, La Cabaña, Aceitunas verdes,182551120101-2,2.08,0.68,22.2,1,
614, La Cabaña, Arroz blanco,54311058223-7,4.33,1.92,17.5,1,
615, La Cabaña, Jugo de manzana,160245945035-4,1.55,0.61,19.3,,1
616, La Cabaña, Jugo de piña,168252745567-9,1.52,0.55,23,1,1
617, La Cabaña, Frijoles negros,227414353191-7,1.33,0.65,14.6,1,1
618, La Cabaña, Cereal de maíz,164668016135-3,1.6,0.7,7.6,1,1
619, La Cabaña, Canela en polvo,208051385462-4,2.58,1.08,6.4,,
620, La Cabaña, Almendras naturales,226577011524-8,0.84,0.32,8.2,1,
621, La Cabaña, Cereal de avena,199207243263-8,1.59,0.77,9.8,1,
622, La Cabaña, Fresas frescas,146979731737-4,0.93,0.46,6.7,1,1
623, El Bosque, Tomates maduros,200881926596-5,2.06,0.79,8.4,1,
624, El Bosque, Chocolate negro,77901277481-5,2.82,1.14,21.4,1,1
625, El Bosque, Plátanos maduros,35251140415-7,1.84,0.84,14.5,1,
626, El Bosque, Salsa picante,48517353712-5,1.48,0.67,7.1,,
627, El Bosque, Espaguetis de trigo integral,167913273392-4,1.95,0.8,8,1,
628, El Bosque, Cereal de arroz,110426349101-8,1.6,0.59,17.2,1,
629, El Bosque, Agua mineral,159069131195-3,0.63,0.24,10.5,,
630, El Bosque, Helado de chocolate,30829069316-4,3.21,1.04,11.6,1,
631, El Bosque, Pimientos naranjas,215718713820-3,0.89,0.44,20.7,1,
632, El Bosque, Agua mineral,168750615058-7,0.95,0.46,21.6,,
633, El Bosque, Cereal de arroz,75887121973-2,0.85,0.31,16.4,1,
634, La Ventana, Pan blanco,139366691289-4,2.9,1.12,13.8,1,1
635, La Ventana, Caldo de pollo,127775161324-7,1.58,0.78,8.3,,1
636, La Ventana, Sopa de pollo,201275686681-4,3.02,1.08,12.8,,1
637, La Ventana, Lechuga iceberg,118931019127-3,0.99,0.4,8.8,,1
638, El Rincón, Salsa de soja,121678406893-1,3.61,1.61,7.1,1,
639, El Rincón, Cereal de maíz,175580601752-5,3.76,1.22,17,,
640, El Rincón, Zanahorias frescas,52599952638-2,2.97,1.44,10.1,,1
641, El Rincón, Pimientos verdes,90723909198-1,4.56,1.98,19.4,1,1
642, El Rincón, Pasta de trigo,103990122495-3,1.9,0.91,7.8,1,1
643, El Rincón, Pan blanco,142611948548-6,2.11,1.04,9.5,,
644, El Rincón, Helado de chocolate,85125024258-3,1,0.45,14.1,,
645, El Rincón, Jugo de naranja natural,133767806349-2,3.8,1.85,6.7,,
646, El Rincón, Carne de res,212527744470-8,1.47,0.67,6.5,1,
647, El Rincón, Refresco de limón,190417388974-1,3.14,1.18,18.6,1,
648, El Rincón, Sopa de verduras,143449290215-6,3.12,1.08,13.1,1,
649, El Rincón, Mostaza,50585797130-6,2.92,1.25,18.1,,1
650, El Rincón, Cereal de maíz,194839460074-8,1.78,0.63,18.4,1,1
651, El Rincón, Pimientos naranjas,154072225152-9,0.92,0.28,15.8,,1
652, El Rincón, Caldo de pollo,227572750508-6,1.91,0.91,11.2,1,
653, El Rincón, Pimientos rojos,145228082953-6,3.18,1.1,10.2,1,1
654, El Rincón, Yogur griego,147975470721-7,2.49,0.96,11.3,,
655, El Rincón, Yogur de frutas,201877665577-5,2.65,0.86,8.7,,1
656, El Rincón, Plátanos maduros,78897016465-3,4.41,1.74,21.4,1,
657, El Rincón, Zanahorias frescas,117020973025-6,2.43,0.77,20.8,,1
658, El Rincón, Frijoles negros,130287186323-3,3.07,1.15,6.8,1,
659, El Rincón, Tostadas de trigo,42683106005-6,3.68,1.6,16.6,1,1
660, La Colina, Salmón ahumado,110815642773-7,3.21,1.43,7.3,1,1
661, La Colina, Galletas de chocolate,159458424864-8,2.68,1.3,20,,
662, La Selva, Pimientos amarillos,31218362985-9,2.63,1.14,22.6,1,
663, La Travesía, Vinagre de manzana,216108007489-1,2.02,0.82,12,1,
664, La Travesía, Salsa de soja,169139908730-7,1.99,0.61,8.7,,
665, El Mirador, Guisantes congelados,76276415645-4,1.8,0.72,9.2,,
666, El Mirador, Leche de almendras,220530078590-9,1.02,0.44,15.2,,1
667, El Mirador, Manzanas rojas,208938548624-8,3.05,1.14,22.3,1,
668, El Mirador, Lechuga iceberg,75439073979-7,4.5,2,23,1,
669, El Mirador, Mantequilla de maní,119320312796-3,2.06,0.61,20.4,1,1
670, El Mirador, Lechuga iceberg,67092801273-8,2.05,0.87,19.1,1,1
671, El Mirador, Manzanas rojas,175969895421-4,3.36,1.26,21.8,1,1
672, El Mirador, Cereal de arroz,52989246307-5,3.83,1.4,14,1,1
673, El Mirador, Mantequilla de maní,36138303577-2,3.14,1.37,19.1,,
674, El Mirador, Sopa de tomate,49404516874-1,3.64,1.55,22.2,1,1
675, El Mirador, Miel pura,223775335846-7,4.11,1.99,13.8,1,1
676, El Mirador, Sopa de pollo,166288411556-6,3.77,1.68,9.3,1,1
677, El Mirador, Arroz blanco,214931193650-2,3.39,1.34,9,1,
678, El Mirador, Yogur griego,157942138850-3,4.23,1.88,15,1,
679, El Mirador, Mermelada de frambuesa,135831783353-4,1.71,0.52,21.3,1,
680, El Mirador, Cereal de avena,143838583886-2,1.68,0.74,14.1,1,
681, El Mirador, Pasta de trigo,50975090801-7,2.63,1.25,9.9,1,
682, El Mirador, Tomates maduros,140253854451-9,0.7,0.23,10.9,1,
683, El Mirador, Jugo de naranja natural,183637223778-1,2.47,1.05,9,1,
684, El Mirador, Jugo de arándano,50137749135-1,0.78,0.25,10.2,1,1
685, El Valle, Yogur natural,174793081579-4,1.75,0.66,19.1,,1
686, El Valle, Agua mineral,122565570056-3,2.08,0.76,13.1,1,
687, El Valle, Cereal de avena,150668570577-1,1.11,0.55,8.1,,
688, El Valle, Pimientos naranjas,27687921463-5,2.72,0.86,13.5,,1
689, El Valle, Jugo de manzana,217836978733-3,2.02,0.84,23,1,
690, El Valle, Pechuga de pavo,24103192031-1,1.65,0.59,7,,1
691, El Valle, Pan blanco,198474011003-8,3.26,1.39,10.1,,
692, El Valle, Cebollas blancas,86012187420-4,1.78,0.63,6.5,1,1
693, El Valle, Mantequilla de maní,189629868804-6,2.28,1.11,16.4,,1
694, El Valle, Ketchup,213414907633-5,3.38,1.57,11.8,,1
695, El Valle, Pan blanco,191304552136-2,4.03,1.87,13.5,1,1
696, El Valle, Carne molida,172905713020-3,0.82,0.29,20.6,1,1
697, El Valle, Tofu orgánico,80042219935-3,1.52,0.63,8.9,1,1
698, El Valle, Queso parmesano,169320983587-7,2.67,1.09,7.2,1,1
699, El Horizonte, Salsa de soja,212704352914-5,1.63,0.51,22.8,,1
700, El Horizonte, Mantequilla de coco,24229978976-8,3.07,1.34,7.7,1,
701, El Horizonte, Jugo de piña,203860210715-6,0.86,0.33,9.4,,
702, El Horizonte, Aceite de oliva,151632699191-3,4.4,1.82,23,,1
703, El Horizonte, Berenjenas,53509793340-6,3.4,1.28,8,1,
704, La Pampa, Yogur natural,208780151307-5,1.87,0.83,8.8,1,
705, La Pampa, Mantequilla de almendras,191929208575-2,1.01,0.43,12.8,,
706, La Pampa, Helado de chocolate,205195421875-5,3.96,1.21,11.6,,1
707, La Pampa, Leche de almendras,117591341554-7,2.14,0.95,17.5,1,1
708, La Pampa, Helado de pistacho,60104417264-3,4.22,1.71,10.3,1,1
709, La Pampa, Aceitunas verdes,108747199355-2,0.65,0.28,17.7,1,1
710, La Pampa, Leche entera,187507137476-9,1.36,0.49,16.1,1,
711, La Pampa, Lentejas secas,165396781980-6,3.31,1.61,14.5,1,
712, La Pampa, Cereal de avena,173403582513-9,4.43,1.62,7.6,1,
713, La Pampa, Leche de almendras,54740895091-2,3.96,1.53,11.6,,1
714, La Pampa, Queso parmesano,144019658744-2,3.09,1.31,17,1,
715, La Pampa, Té verde,187403028071-2,1.78,0.6,7.2,1,1
716, La Pampa, Tomates maduros,205928654133-3,2.07,0.7,6.6,,
717, La Pampa, Tomates maduros,178558885872-4,4.49,2.17,16,1,1
718, La Pampa, Atún en lata,126331374345-3,2.66,1.02,15.8,1,1
719, La Pampa, Mantequilla de almendras,28208468496-7,2.81,1.11,15.1,1,1
720, La Pampa, Té negro,112227819382-6,0.99,0.31,9.6,,1
721, La Pampa, Vinagre balsámico,95376876652-2,2.59,0.79,15.5,1,
722, La Pampa, Carne de res,24492485700-8,3.24,1,21.2,,1
723, La Pampa, Helado de vainilla,143888405382-5,0.58,0.2,18.5,1,1
724, La Pampa, Helado de vainilla,86401481091-2,3.37,1.37,20.3,,
725, La Pampa, Pasas de uva,135044263183-6,1.71,0.62,7.7,,
726, La Pampa, Yogur natural,213804201304-7,3.68,1.17,8.9,,1
